09/17/2017, 16/24/37, BTC ,31 ,0.09, 3589.48 LTC ,3 ,0.23, 48.4074 ETH ,5 ,0.14, 250.828 
09/17/2017, 16/25/08, BTC ,42 ,0.08, 3589.48 LTC ,4 ,0.0, 48.4074 ETH ,10 ,0.07, 250.828 
09/17/2017, 16/25/38, BTC ,42 ,0.12, 3589.48 LTC ,1 ,0.51, 48.4074 ETH ,10 ,0.37, 250.828 
09/17/2017, 16/26/08, BTC ,45 ,0.19, 3588.58 LTC ,4 ,0.02, 48.4748 ETH ,18 ,0.19, 250.888 
09/17/2017, 16/26/39, BTC ,30 ,0.12, 3588.58 LTC ,1 ,0.0, 48.4748 ETH ,7 ,0.3, 250.888 
09/17/2017, 16/27/09, BTC ,35 ,0.13, 3588.58 LTC ,3 ,0.16, 48.4748 ETH ,18 ,0.26, 250.888 
09/17/2017, 16/27/41, BTC ,46 ,0.16, 3588.58 LTC ,5 ,0.09, 48.4748 ETH ,24 ,0.21, 250.888 
09/17/2017, 16/28/11, BTC ,48 ,0.08, 3588.58 LTC ,2 ,0.0, 48.4748 ETH ,24 ,0.15, 250.888 
09/17/2017, 16/28/44, BTC ,41 ,0.13, 3588.58 LTC ,1 ,0.0, 48.4748 ETH ,5 ,-0.24, 250.888 
09/17/2017, 16/29/15, BTC ,32 ,0.13, 3588.58 LTC ,5 ,0.36, 48.4748 ETH ,8 ,0.41, 250.888 
09/17/2017, 16/29/45, BTC ,36 ,0.19, 3588.58 LTC ,2 ,-0.19, 48.4748 ETH ,13 ,0.24, 250.888 
